ElemUID,Lat,Lon
15424002,50.114246,8.651046
17790006,50.09625,8.659665
17392004,50.084656,8.632699
18301005,50.125027,8.675284
18297002,50.119923,8.67742
18301003,50.124622,8.675116
15428004,50.112793,8.655181
17399010,50.086708,8.650414
17399006,50.086548,8.64996
18983002,50.10862,8.665788
17405003,50.082794,8.642963
17403004,50.084072,8.645581
18391001,50.106293,8.668882
17790004,50.09589,8.658956
17394002,50.086136,8.638326
15430003,50.110653,8.657151
18301001,50.125393,8.674667
15425027,50.11437,8.651887
17370025,50.080883,8.657279
17402003,50.08491,8.647393
17404005,50.0834,8.644544
17405002,50.083157,8.643193
17404002,50.08395,8.644772
17377002,50.09896,8.668157
18303001,50.128487,8.672657
17382009,50.10305,8.662653
17427001,50.09126,8.65296
17408001,50.080944,8.637072
17378007,50.099613,8.668796
18237007,50.14268,8.753564
17378010,50.10036,8.668415
17404006,50.083847,8.644252
18303004,50.128353,8.673227
17406001,50.082165,8.640562
17400003,50.08746,8.650843
17407001,50.081818,8.639583
17375037,50.09667,8.669748
17790001,50.095665,8.65866
18303010,50.12756,8.673395
17394001,50.08631,8.638547
18983005,50.10895,8.666052
17398002,50.087288,8.648969
17392002,50.084698,8.633164
18392002,50.105312,8.667494
15427003,50.113476,8.653202
17390001,50.088043,8.628962
17378004,50.099724,8.667971
17408003,50.080463,8.636606
17406003,50.0817,8.639994
18391002,50.106083,8.669218
19043001,50.105446,8.670056
17790016,50.09668,8.6607065
17399007,50.086536,8.65
18303006,50.128273,8.673309
18301004,50.124615,8.675076
17398001,50.087067,8.648713
15430007,50.11043,8.657
18237006,50.14188,8.752216
18303015,50.12797,8.672686
15430004,50.11066,8.65711
17450003,50.089447,8.652536
17405004,50.082817,8.64294
17790018,50.096382,8.660863
17403001,50.084583,8.646042
17400002,50.08786,8.650735
18303008,50.127575,8.673476
18297007,50.119713,8.677987
17402002,50.08539,8.64785
17382001,50.103546,8.66341
17375036,50.096653,8.669782
17378008,50.10022,8.668231
18983004,50.108974,8.666035
18303003,50.128494,8.672707
15430006,50.110428,8.657041
17400009,50.08849,8.651823
17407005,50.082623,8.638604
17382006,50.10346,8.6628685
17790015,50.09684,8.660967
17400008,50.088497,8.652098
17378011,50.100376,8.668383
17353001,50.077164,8.654804
15429002,50.112503,8.653443
15436006,50.10815,8.662899
15436008,50.10809,8.66327
17382005,50.10338,8.6635
17382002,50.103523,8.663428
17400012,50.088474,8.651058
17405001,50.083176,8.643165
15425025,50.11442,8.651903
17392001,50.08452,8.633008
18303011,50.127815,8.6732435
18237005,50.141857,8.7522335
17377004,50.098915,8.668206
18297005,50.119762,8.677955
17375038,50.09736,8.67109
15428005,50.112778,8.655211
17398003,50.087177,8.64923
17407004,50.081314,8.638855
17378001,50.100094,8.667713
17427002,50.091988,8.652901
17404003,50.083305,8.644027
17400007,50.08847,8.652091
17400010,50.088516,8.651829
18820002,50.10808,8.670064
17398004,50.086964,8.649075
15427002,50.113457,8.653233
17400011,50.088448,8.651058
18983001,50.108913,8.665352
17382010,50.103073,8.662627
17382004,50.103397,8.663466
18303002,50.128487,8.672666
17408004,50.080486,8.63658
15427001,50.113438,8.653264
17378003,50.099735,8.66801
17375026,50.09796,8.669949
17378002,50.100075,8.66768
17394004,50.086452,8.638246
17427003,50.091606,8.653303
18237008,50.14266,8.753582
17382007,50.10347,8.662907
17375032,50.09681,8.671097
15427005,50.113274,8.65301
17397003,50.086662,8.646686
18303014,50.127953,8.672716
17397001,50.086746,8.646371
15425029,50.11475,8.65145
18820003,50.108097,8.670101
17394003,50.08626,8.638053
15436003,50.108326,8.664417
18392005,50.104958,8.666612
17403003,50.08405,8.645606
17375025,50.097942,8.669915
15424004,50.114216,8.6511135
17399009,50.086697,8.650453
18237004,50.14183,8.75226
18297003,50.119286,8.678143
18237003,50.14185,8.753355
17375035,50.096638,8.669815
17402001,50.08541,8.647825
17397004,50.086933,8.646556
17378005,50.099712,8.6679325
17790005,50.09587,8.658984
17377003,50.098938,8.668181
17404001,50.08397,8.644747
15436002,50.108353,8.664397
17375031,50.09681,8.671139
18392001,50.10527,8.667545
17407002,50.081795,8.639604
17382003,50.103413,8.663432
17402004,50.08493,8.6473675
17399008,50.087494,8.650643
15424003,50.114235,8.651081
17375027,50.097977,8.66998
17382008,50.10303,8.662677
17397002,50.08684,8.646885
15430005,50.110664,8.657069
17375028,50.097992,8.670015
15425026,50.114395,8.651894
18297006,50.119736,8.677969
17790012,50.0964,8.660377
17414001,50.09576,8.671008
17790013,50.096333,8.660145
17402006,50.08522,8.647231
17400005,50.08829,8.6515
17403002,50.08456,8.646067
18237002,50.141865,8.753391
17427004,50.09237,8.652882
17378009,50.100243,8.668204
17406004,50.081722,8.639972
17370026,50.080856,8.657329
17406002,50.08214,8.640585
18967005,50.101467,8.681035
15429001,50.11248,8.653419
15424001,50.114265,8.651012
17404004,50.08333,8.643999
17402005,50.085083,8.647967
18301006,50.125,8.675297
15429003,50.112526,8.653463
17400004,50.088284,8.6511965
18297004,50.119278,8.678103
15436007,50.108177,8.662883
17790003,50.095505,8.658059
15425028,50.114754,8.651409
17378006,50.0996,8.66876
18983003,50.109,8.666013
15436001,50.108376,8.664377
18303013,50.127934,8.672743
18303009,50.127567,8.673436
17400001,50.087723,8.650572
19043002,50.105682,8.669691
18820001,50.10807,8.670028
18301002,50.1254,8.674708
17407003,50.081295,8.63889
19002007,50.105625,8.678304
18948002,50.103615,8.673556
18346003,50.106956,8.682054
19002004,50.105614,8.677597
17408002,50.080917,8.637092
18940003,50.10423,8.6747675
18948001,50.102726,8.672179
19002005,50.105602,8.67756
15430080,50.11178,8.6565485
15430079,50.111797,8.656517
15430076,50.111797,8.656578
15430078,50.111755,8.656521
15430077,50.11178,8.656487
15430019,50.11087,8.658096
15430018,50.11085,8.658065
15430020,50.11089,8.658124
15430069,50.11056,8.657721
15430070,50.11054,8.657767
15430075,50.111816,8.656545
15430073,50.11061,8.657758
15430067,50.11085,8.658133
15430068,50.11087,8.658161
15430074,50.110588,8.657803
15430072,50.110565,8.6577835
15430071,50.110584,8.657738
15430066,50.11083,8.658104
15433017,50.108936,8.661437
15433016,50.108955,8.661462
15427015,50.11459,8.652766
17353003,50.077206,8.654751
17353002,50.077187,8.654776
15427006,50.113293,8.65298
15427014,50.114555,8.6527815
15427013,50.114582,8.652726
15427012,50.114548,8.6527405
15427011,50.114574,8.652685
15427010,50.114544,8.6527
15442007,50.103497,8.66497
15442004,50.103497,8.665093
17375029,50.09835,8.671521
15442005,50.103497,8.665052
15442006,50.103497,8.665011
15442008,50.1035,8.664929
15436017,50.108406,8.663654
15436016,50.108418,8.6636915
17375030,50.098335,8.671557
15429015,50.112526,8.653388
15429016,50.11255,8.653407
15429014,50.112503,8.653366
17375033,50.096966,8.67027
17375034,50.09698,8.6702385
17790002,50.095688,8.658639
18967003,50.102257,8.680387
18237001,50.14187,8.75341
17790024,50.0969,8.661554
15430008,50.110435,8.656959
18297001,50.1199,8.677396
17371002,50.078884,8.657847
17370030,50.08015,8.657371
17372004,50.088036,8.659308
15430012,50.110966,8.656963
17370027,50.080128,8.657249
15429004,50.11149,8.655349
15426004,50.115685,8.652041
15426005,50.115658,8.652041
17371001,50.0789,8.657885
15422009,50.11359,8.650606
17371003,50.078873,8.657809
15430011,50.111042,8.656721
15426002,50.115635,8.652754
17372003,50.08788,8.65956
15431027,50.110428,8.659134
15430010,50.111023,8.656697
15436015,50.108063,8.664365
15436013,50.10811,8.664413
15428002,50.112316,8.655553
15436014,50.108086,8.664389
15431026,50.110184,8.659338
15431025,50.110207,8.659364
15428003,50.11236,8.655608
15428001,50.112335,8.6555805
15433001,50.10855,8.662873
15436005,50.108364,8.663395
15436004,50.10834,8.66338
15422001,50.113384,8.649686
15425030,50.114742,8.651491
15422003,50.113438,8.649694
15422004,50.113464,8.6497
15422002,50.11341,8.64969
19002006,50.105648,8.678282
19002001,50.105057,8.678191
19002002,50.105045,8.678154
18940002,50.10412,8.674379
18346001,50.10719,8.682958
18940001,50.10374,8.673909
18346002,50.107162,8.682971
19002003,50.1052,8.677348
18350016,50.116695,8.678248
18350021,50.117348,8.679087
18350014,50.116646,8.678274
18350013,50.11662,8.678288
18350011,50.11697,8.67981
18350007,50.11677,8.679939
18299002,50.122715,8.675843
18299003,50.122715,8.675801
18299001,50.123104,8.675361
18299005,50.1235,8.675475
18299006,50.12351,8.675516
483492732,50.193398,8.653345
17380007,50.102856,8.664308
17380006,50.102882,8.664306
17380005,50.10291,8.664306
17380004,50.102936,8.664308
15438002,50.105778,8.6645155
17372009,50.087692,8.659507
15424007,50.11407,8.649909
17372008,50.08826,8.659713
17353005,50.077713,8.654636
17353006,50.077736,8.654662
17353004,50.07769,8.654611
15430016,50.111073,8.657322
17377005,50.098995,8.669451
15430015,50.111065,8.657362
17377006,50.099014,8.669484
17377008,50.099045,8.669553
15430017,50.111084,8.657283
17377007,50.09903,8.669518
17370029,50.080143,8.6573305
15438001,50.105755,8.6645355
15430009,50.111,8.656673
15424006,50.114048,8.649884
15422007,50.1136,8.650519
15429005,50.111504,8.655314
15422008,50.113594,8.650562
15426001,50.11566,8.652757
17372001,50.088055,8.659973
17370028,50.080135,8.65729
17372007,50.088276,8.6596775
17372005,50.088062,8.659311
15424005,50.114025,8.64986
17372002,50.08787,8.659599
17372006,50.088295,8.659641
15426003,50.11571,8.652043
18350010,50.116947,8.679844
18350019,50.117344,8.679003
18350015,50.116673,8.678263
18350022,50.11652,8.680448
18350020,50.117344,8.679045
18350018,50.117344,8.678961
18350012,50.116997,8.679798
18350005,50.116734,8.679852
18350003,50.11659,8.680184
18350002,50.11633,8.6797905
18350017,50.117344,8.678919
18350009,50.116924,8.679856
18350006,50.11677,8.679981
18350004,50.116737,8.67981
18350008,50.116776,8.679896
19902025,50.122013,8.89266
19902028,50.121265,8.892668
19902027,50.121258,8.892628
19902026,50.12199,8.892714
19902030,50.12128,8.892749
17368001,50.07839,8.654135
17368003,50.079006,8.654723
17368006,50.078953,8.654818
17368005,50.07897,8.654785
17368002,50.078083,8.653708
17368004,50.07899,8.654755
18857032,50.11639,8.627923
18857033,50.11636,8.627974
18350001,50.116325,8.6798315
17388002,50.088688,8.636311
17451002,50.084686,8.629092
17451006,50.08438,8.629235
17399005,50.08575,8.6490965
17451001,50.084686,8.62905
17399004,50.085728,8.649115
17451007,50.08451,8.628927
17390006,50.08799,8.628979
17390002,50.088017,8.628971
17451005,50.08439,8.629276
17451003,50.084686,8.629134
17451004,50.08456,8.629429
17388001,50.08895,8.636886
17390003,50.087814,8.628449
17386021,50.09118,8.642861
17386020,50.09132,8.642955
17386019,50.09138,8.64276
17386004,50.09138,8.642712
17386018,50.091217,8.6426935
17386002,50.09117,8.642908
17386003,50.09108,8.642488
17386001,50.09146,8.643155
17389002,50.088215,8.631891
17389001,50.08838,8.632864
17790007,50.09559,8.659114
18392004,50.10476,8.667141
17790028,50.095573,8.659079
18392003,50.10477,8.667179
17790025,50.096893,8.66188
483492734,50.12392,8.727058
483492752,50.1338,8.615858
483492747,50.13419,8.618334
483492749,50.13409,8.618411
483492733,50.124496,8.726306
483492750,50.13378,8.618675
483492751,50.13303,8.616226
483492746,50.134163,8.618355
483492738,50.10909,8.603335
483492741,50.071907,8.6527195
483492737,50.109074,8.603373
483492736,50.159016,8.67687
483492740,50.071903,8.6527605
483492739,50.08526,8.618818
483492735,50.159008,8.676831
398331143,50.074875,8.718879
398331142,50.074898,8.718902
399126816,50.11512,8.620458
399126818,50.11517,8.620425
399126819,50.115192,8.62041
483492713,50.143967,8.702961
399126817,50.115143,8.6204405
19902029,50.121273,8.892709
17391002,50.087887,8.616487
17391001,50.08786,8.61649
17391005,50.088146,8.619404
17391007,50.087875,8.618771
17391003,50.088142,8.617106
17391009,50.087814,8.619325
17391010,50.08809,8.619483
17391004,50.08812,8.617127
17391008,50.087902,8.618765
17387002,50.089306,8.638489
17388004,50.088863,8.636479
17387003,50.089535,8.638646
17387001,50.089687,8.6393
18890016,50.129276,8.693694
18367010,50.132042,8.694069
18367006,50.13205,8.694588
18367004,50.13202,8.694582
18369003,50.138577,8.698054
18372011,50.145195,8.705851
18369025,50.140236,8.698541
18890005,50.12884,8.693919
18371009,50.142956,8.703372
18367002,50.132736,8.695118
18371010,50.142662,8.702701
18368002,50.136177,8.6966915
17388003,50.088745,8.635787
17391006,50.08812,8.619399
18890010,50.128475,8.692505
18890017,50.129295,8.693663
18890001,50.129143,8.692205
18372001,50.146137,8.706175
18369024,50.14024,8.698499
18367007,50.132072,8.694567
18367005,50.132015,8.694509
18372003,50.145866,8.705997
19110002,50.14229,8.701546
18366001,50.131363,8.694476
18890013,50.129593,8.693622
18368007,50.135483,8.69659
18369008,50.13887,8.6988945
18368005,50.135662,8.696134
18890003,50.12919,8.692253
18371011,50.143414,8.703742
18366014,50.12995,8.694073
